id,happy,sad,angry,disgust,surprise,fear
0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.3272727272727274,2.0727272727272728,7.254545454545455,5.672727272727273,2.9454545454545453,3.2363636363636363
2,2.0377358490566038,2.811320754716981,5.433962264150944,4.886792452830188,2.5660377358490565,2.3962264150943398
3,3.4117647058823533,2.1372549019607843,3.4705882352941178,4.470588235294118,3.0980392156862746,2.7058823529411766
4,1.5370370370370368,2.462962962962963,7.277777777777778,4.592592592592593,2.5555555555555562,2.6296296296296298
5,2.392857142857143,4.035714285714286,3.928571428571429,3.8571428571428568,2.642857142857143,3.0357142857142856
6,2.034090909090909,1.5795454545454546,6.2727272727272725,4.931818181818182,2.113636363636364,3.25
7,1.4090909090909092,3.3636363636363638,4.227272727272728,5.136363636363637,1.7727272727272727,2.3181818181818183
8,3.5384615384615383,1.9487179487179491,5.384615384615384,4.717948717948718,2.5641025641025643,3.2564102564102564
9,2.2222222222222223,3.0555555555555562,5.277777777777779,4.916666666666667,1.9722222222222223,2.0
10,2.0,2.833333333333333,4.7,3.966666666666667,2.3666666666666667,3.3
11,1.8518518518518519,2.4444444444444446,6.8888888888888875,4.62962962962963,2.7777777777777777,2.6666666666666665
12,1.6333333333333333,3.0,5.466666666666668,4.7,2.8666666666666667,2.8
13,2.5,2.2857142857142856,4.5,4.857142857142857,3.2857142857142856,3.2142857142857144
14,1.891304347826087,2.608695652173913,5.608695652173912,4.065217391304348,4.956521739130435,3.065217391304348
15,1.6575342465753424,1.7808219178082192,7.054794520547945,4.369863013698629,3.191780821917808,3.1232876712328768
16,1.8947368421052635,2.5526315789473686,5.131578947368421,5.2631578947368425,2.263157894736842,2.894736842105264
17,1.6463414634146345,2.1829268292682933,5.463414634146342,5.280487804878049,3.1707317073170733,3.768292682926829
18,1.9423076923076923,2.173076923076924,7.0769230769230775,5.403846153846153,2.0961538461538463,2.6153846153846154
19,1.8571428571428568,2.642857142857143,7.7142857142857135,3.2857142857142856,2.7142857142857144,2.821428571428572
20,2.8,2.2,6.35,4.95,2.9,3.25
21,2.0625,2.59375,7.0,4.375,2.9375,3.40625
22,2.0933333333333333,2.3066666666666658,4.88,5.706666666666668,2.6666666666666665,3.066666666666667
23,2.36,2.72,6.44,3.64,3.28,3.48
24,2.264705882352941,1.6470588235294117,6.647058823529411,5.0,3.4117647058823533,2.323529411764706
25,2.7966101694915246,2.220338983050848,10.372881355932204,4.016949152542373,1.4745762711864407,1.9152542372881358
26,2.952380952380953,2.7142857142857144,4.238095238095238,3.3809523809523814,2.6666666666666665,2.5714285714285716
27,1.574468085106383,2.1702127659574466,7.148936170212767,5.574468085106383,1.5319148936170213,2.5106382978723403
28,2.533333333333333,2.311111111111111,6.088888888888889,4.0,2.6666666666666665,2.7555555555555555
29,3.1739130434782608,2.130434782608696,5.717391304347826,4.543478260869565,2.5434782608695654,2.608695652173913
30,3.611111111111111,1.3333333333333333,8.333333333333334,3.7777777777777777,2.9444444444444446,2.1111111111111107
31,0.8125,4.625,8.5625,3.28125,1.375,1.6875
32,3.7,3.0,3.2666666666666666,2.533333333333333,3.333333333333333,1.8166666666666669
33,1.7333333333333334,1.8,7.933333333333334,4.333333333333333,3.2666666666666666,3.333333333333333
34,2.5,3.138888888888889,6.3611111111111125,3.888888888888889,2.0,1.9722222222222223
35,1.9523809523809523,4.333333333333333,4.714285714285714,4.285714285714286,2.619047619047619,2.5238095238095237
36,2.1818181818181817,3.303030303030303,3.303030303030303,4.181818181818182,4.03030303030303,3.272727272727273
37,1.7916666666666667,2.6666666666666665,3.2916666666666665,3.5,4.0,4.0
38,3.2051282051282053,2.717948717948718,4.3076923076923075,3.4871794871794872,3.2692307692307687,2.833333333333333
39,2.775,1.625,5.65,5.35,2.525,2.35
40,2.1818181818181817,2.363636363636364,5.681818181818183,4.818181818181818,1.7727272727272727,1.8636363636363635
41,1.434782608695652,3.695652173913044,4.260869565217392,4.869565217391305,3.391304347826087,5.130434782608695
42,3.4418604651162785,1.3255813953488371,5.744186046511628,3.6279069767441854,4.069767441860465,2.9069767441860463
43,3.4074074074074074,2.2222222222222223,5.962962962962963,3.4814814814814814,2.6666666666666665,4.111111111111111
