,Position,Track Name,Artist,Streams,URL,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
62,63,魔法の絨毯,川崎 鷹也,330064,https://open.spotify.com/track/37IPQgBkvbmH9JR5mlY6a8,0.777,https://api.spotify.com/v1/audio-analysis/37IPQgBkvbmH9JR5mlY6a8,0.514,212018,0.309,37IPQgBkvbmH9JR5mlY6a8,0.0,10,0.121,-6.292,0,0.0534,71.378,4,https://api.spotify.com/v1/tracks/37IPQgBkvbmH9JR5mlY6a8,audio_features,spotify:track:37IPQgBkvbmH9JR5mlY6a8,0.569
63,64,恋人ごっこ,macaroni enpitsu,320746,https://open.spotify.com/track/2SihT7AVMiI2VtaAyVIcnO,0.124,https://api.spotify.com/v1/audio-analysis/2SihT7AVMiI2VtaAyVIcnO,0.438,200219,0.646,2SihT7AVMiI2VtaAyVIcnO,0.0,1,0.0603,-5.301,1,0.0361,102.033,4,https://api.spotify.com/v1/tracks/2SihT7AVMiI2VtaAyVIcnO,audio_features,spotify:track:2SihT7AVMiI2VtaAyVIcnO,0.745
64,65,Sayonara Elegy,Masaki Suda,320710,https://open.spotify.com/track/0QKmcZNAST4GytJYmkN05D,0.00333,https://api.spotify.com/v1/audio-analysis/0QKmcZNAST4GytJYmkN05D,0.466,257067,0.934,0QKmcZNAST4GytJYmkN05D,0.0,1,0.277,-2.739,1,0.0539,154.966,4,https://api.spotify.com/v1/tracks/0QKmcZNAST4GytJYmkN05D,audio_features,spotify:track:0QKmcZNAST4GytJYmkN05D,0.62
65,66,Your eyes tell,BTS,320400,https://open.spotify.com/track/3TZ7NHkMT82AhwuYsd00Hz,0.279,https://api.spotify.com/v1/audio-analysis/3TZ7NHkMT82AhwuYsd00Hz,0.449,245147,0.491,3TZ7NHkMT82AhwuYsd00Hz,0.0,9,0.0654,-6.433,0,0.029,139.923,4,https://api.spotify.com/v1/tracks/3TZ7NHkMT82AhwuYsd00Hz,audio_features,spotify:track:3TZ7NHkMT82AhwuYsd00Hz,0.258
66,67,Savage Love (Laxed – Siren Beat) [BTS Remix],Jawsh 685,313599,https://open.spotify.com/track/4TgxFMOn5yoESW6zCidCXL,0.16,https://api.spotify.com/v1/audio-analysis/4TgxFMOn5yoESW6zCidCXL,0.758,184905,0.598,4TgxFMOn5yoESW6zCidCXL,0.0,0,0.295,-5.695,0,0.0868,149.836,4,https://api.spotify.com/v1/tracks/4TgxFMOn5yoESW6zCidCXL,audio_features,spotify:track:4TgxFMOn5yoESW6zCidCXL,0.658
67,68,きらきら,もさを。,308466,https://open.spotify.com/track/5eXXJJuejAUkggSgIINU1V,0.376,https://api.spotify.com/v1/audio-analysis/5eXXJJuejAUkggSgIINU1V,0.688,180000,0.753,5eXXJJuejAUkggSgIINU1V,0.0,11,0.232,-3.681,1,0.0302,105.016,4,https://api.spotify.com/v1/tracks/5eXXJJuejAUkggSgIINU1V,audio_features,spotify:track:5eXXJJuejAUkggSgIINU1V,0.622
68,69,Holy (feat. Chance The Rapper),Justin Bieber,308145,https://open.spotify.com/track/5u1n1kITHCxxp8twBcZxWy,0.196,https://api.spotify.com/v1/audio-analysis/5u1n1kITHCxxp8twBcZxWy,0.673,212093,0.704,5u1n1kITHCxxp8twBcZxWy,0.0,6,0.0898,-8.056,1,0.36,86.919,4,https://api.spotify.com/v1/tracks/5u1n1kITHCxxp8twBcZxWy,audio_features,spotify:track:5u1n1kITHCxxp8twBcZxWy,0.372
69,70,あの夢をなぞって,YOASOBI,305260,https://open.spotify.com/track/4BE1OloRc9xwjyqA4wFFuN,0.217,https://api.spotify.com/v1/audio-analysis/4BE1OloRc9xwjyqA4wFFuN,0.537,242667,0.793,4BE1OloRc9xwjyqA4wFFuN,0.000361,8,0.143,-3.446,1,0.04,180.029,4,https://api.spotify.com/v1/tracks/4BE1OloRc9xwjyqA4wFFuN,audio_features,spotify:track:4BE1OloRc9xwjyqA4wFFuN,0.73
70,71,高嶺の花子さん,back number,301880,https://open.spotify.com/track/2jdbZGFp8KVTuk0YxDNL4l,0.066,https://api.spotify.com/v1/audio-analysis/2jdbZGFp8KVTuk0YxDNL4l,0.54,294813,0.923,2jdbZGFp8KVTuk0YxDNL4l,0.0,9,0.124,-2.838,1,0.0623,137.977,4,https://api.spotify.com/v1/tracks/2jdbZGFp8KVTuk0YxDNL4l,audio_features,spotify:track:2jdbZGFp8KVTuk0YxDNL4l,0.343
71,72,怪物さん,Ken Hirai,298311,https://open.spotify.com/track/1heN1fuesAqx4WRlQFkCLJ,0.0422,https://api.spotify.com/v1/audio-analysis/1heN1fuesAqx4WRlQFkCLJ,0.8,244926,0.666,1heN1fuesAqx4WRlQFkCLJ,0.0,0,0.13,-5.414,1,0.0495,128.016,4,https://api.spotify.com/v1/tracks/1heN1fuesAqx4WRlQFkCLJ,audio_features,spotify:track:1heN1fuesAqx4WRlQFkCLJ,0.526
